neword,3,1600643097.689502544,1600643099.398569100,1.709066556
delivery,8,1600643098.690138358,1600643099.557098026,0.866959668
payment,0,1600643098.848329849,1600643099.740401486,0.892071637
payment,2,1600643098.759481726,1600643099.907313142,1.147831416
neword,6,1600643098.648309601,1600643099.973743539,1.325433938
delivery,5,1600643099.123434159,1600643100.82147246,0.958713087
delivery,9,1600643099.6764760,1600643100.140537554,1.133772794
slev,1,1600643090.969887357,1600643100.155841698,9.185954341
delivery,8,1600643099.557106636,1600643100.351903894,0.794797258
payment,4,1600643099.298612583,1600643100.707469315,1.408856732
payment,3,1600643099.398598676,1600643100.807432727,1.408834051
payment,2,1600643099.907341674,1600643100.915912177,1.008570503
payment,6,1600643099.973819828,1600643100.965895047,0.992075219
delivery,5,1600643100.82155908,1600643101.107628262,1.025472354
delivery,9,1600643100.140545437,1600643101.257576748,1.117031311
payment,3,1600643100.807461661,1600643101.541155364,0.733693703
delivery,9,1600643101.257584764,1600643101.858050430,0.600465666
neword,8,1600643100.351935003,1600643102.133204693,1.781269690
delivery,5,1600643101.107636528,1600643102.166373429,1.058736901
neword,0,1600643099.740437364,1600643102.308279456,2.567842092
ordstat,8,1600643102.133219542,1600643102.709673747,0.576454205
delivery,9,1600643101.858059342,1600643102.783459091,0.925399749
neword,4,1600643100.707500541,1600643102.841738991,2.134238450
delivery,5,1600643102.166380720,1600643103.75314930,0.908934210
ordstat,8,1600643102.709688010,1600643103.216039009,0.506350999
neword,6,1600643100.965952828,1600643103.317096423,2.351143595
neword,2,1600643100.915942146,1600643103.483751511,2.567809365
delivery,9,1600643102.783467943,1600643103.683822948,0.900355005
delivery,5,1600643103.75323713,1600643103.783849711,0.708525998
payment,2,1600643103.483806140,1600643104.100650470,0.616844330
neword,3,1600643101.541187337,1600643104.150883674,2.609696337
slev,7,1600643094.387845645,1600643104.281645743,9.893800098
neword,0,1600643102.308311583,1600643104.292382732,1.984071149
delivery,9,1600643103.683832930,1600643104.409089661,0.725256731
payment,6,1600643103.317125966,1600643104.575920474,1.258794508
payment,5,1600643103.783897493,1600643104.700865528,0.916968035
delivery,7,1600643104.281677148,1600643104.975021745,0.693344597
payment,2,1600643104.100677360,1600643105.117735516,1.017058156
delivery,9,1600643104.409098488,1600643105.184439940,0.775341452
neword,8,1600643103.216067437,1600643105.234336909,2.018269472
neword,4,1600643102.841771893,1600643105.234371542,2.392599649
payment,4,1600643105.234423636,1600643105.926711134,0.692287498
delivery,7,1600643104.975030367,1600643106.26693496,1.051663129
delivery,9,1600643105.184448733,1600643106.168285391,0.983836658
neword,6,1600643104.575949605,1600643106.543170187,1.967220582
neword,3,1600643104.150917474,1600643106.760283745,2.609366271
payment,9,1600643106.168315068,1600643107.26919236,0.858604168
delivery,7,1600643106.26700867,1600643107.26963794,1.000262927
neword,2,1600643105.117764409,1600643107.60287282,1.942522873
payment,4,1600643105.926741089,1600643107.101975873,1.175234784
neword,8,1600643105.234401085,1600643107.101987336,1.867586251
neword,5,1600643104.700896426,1600643107.201958589,2.501062163
delivery,7,1600643107.26971809,1600643107.552184836,0.525213027
payment,9,1600643107.26948761,1600643107.785649730,0.758700969
payment,2,1600643107.60316944,1600643107.894109686,0.833792742
neword,3,1600643106.760311300,1600643107.952414030,1.192102730
delivery,7,1600643107.552193748,1600643108.83988230,0.531794482
payment,4,1600643107.102004592,1600643108.619262668,1.517258076
neword,5,1600643107.201990847,1600643108.877757955,1.675767108
neword,8,1600643107.102021766,1600643109.2775354,1.900753588
delivery,7,1600643108.83997073,1600643109.2802041,0.918804968
neword,6,1600643106.543202690,1600643109.2886205,2.459683515
neword,3,1600643107.952443662,1600643109.2906453,1.050462791
payment,2,1600643107.894138935,1600643109.94801549,1.200662614
slev,1,1600643100.155852231,1600643109.475578538,9.319726307
